Date and Time     	Excel-Time    	1-Laser-	2-Laser-	3-Sum   	4-TC1  	5-Tair 	6-rH%  
12.04.16 05:46:09	  42472,240382	-1353,7084	-1445,5741	-2799,2825	18,1862	18,2940	18,0700	40,8170
12.04.16 05:51:25	  42472,244039	-1356,2789	-1449,7712	-2806,0501	18,1810	18,2256	18,0600	40,8049
12.04.16 05:56:41	  42472,247697	-1360,2835	-1454,4775	-2814,7611	18,1813	18,2286	18,0400	40,7545
12.04.16 06:01:57	  42472,251354	-1365,1202	-1456,7624	-2821,8826	18,1795	18,2186	18,0200	40,6513
12.04.16 06:07:13	  42472,255012	-1370,5405	-1460,9223	-2831,4628	18,1806	18,2365	18,0200	40,5986
12.04.16 06:12:30	  42472,258681	-1375,9360	-1466,1749	-2842,1109	18,1164	18,2313	18,0000	40,6010
12.04.16 06:17:46	  42472,262338	-1380,5429	-1470,0492	-2850,5921	18,1200	18,1718	18,0000	40,5483
12.04.16 06:23:02	  42472,265995	-1384,6469	-1471,3096	-2855,9566	18,1176	18,1713	17,9800	40,5243
12.04.16 06:28:18	  42472,269653	-1386,0998	-1473,5386	-2859,6384	18,1180	18,1642	17,9700	40,5123
12.04.16 06:33:35	  42472,273322	-1391,6381	-1478,2821	-2869,9202	18,1176	18,1788	17,9600	40,5003
12.04.16 06:38:51	  42472,276979	-1394,8170	-1478,9278	-2873,7448	18,1174	18,1638	17,9500	40,5147
12.04.16 06:44:07	  42472,280637	-1394,2271	-1481,3306	-2875,5578	18,0488	18,1832	17,9400	40,3974
12.04.16 06:49:23	  42472,284294	-1396,9839	-1487,2725	-2884,2563	18,0562	18,1905	17,9400	40,3974
12.04.16 06:54:40	  42472,287963	-1399,2066	-1489,4083	-2888,6149	18,0574	18,1219	17,9100	40,3353
12.04.16 06:59:56	  42472,291620	-1402,5966	-1494,5741	-2897,1707	18,0489	18,1269	17,9100	40,3353
12.04.16 07:05:12	  42472,295278	-1403,9253	-1500,5656	-2904,4909	18,0585	18,1070	17,8900	40,3114
12.04.16 07:10:28	  42472,298935	-1408,1163	-1502,1488	-2910,2651	17,9935	18,1321	17,8900	40,2851
12.04.16 07:15:44	  42472,302593	-1411,8602	-1507,5629	-2919,4231	17,9902	18,0809	17,8800	40,2206
12.04.16 07:21:01	  42472,306262	-1415,6289	-1511,7352	-2927,3642	17,9941	18,0826	17,8800	40,2469
12.04.16 07:26:17	  42472,309919	-1415,6351	-1513,0142	-2928,6494	17,9935	18,0760	17,8600	40,1967
12.04.16 07:31:33	  42472,313576	-1417,2619	-1513,0329	-2930,2947	17,9307	18,0918	17,8600	40,1442
12.04.16 07:36:49	  42472,317234	-1417,2122	-1515,5971	-2932,8093	17,9362	18,0869	17,8500	40,1585
12.04.16 07:42:06	  42472,320903	-1422,3531	-1522,2467	-2944,5998	17,9910	18,0945	17,8600	40,0916
12.04.16 07:47:22	  42472,324560	-1423,6383	-1522,2033	-2945,8416	17,9294	18,0832	17,8500	40,0797
12.04.16 07:52:38	  42472,328218	-1426,3950	-1528,3624	-2954,7575	17,9234	18,0904	17,8600	40,0390
12.04.16 07:57:54	  42472,331875	-1426,3640	-1526,8102	-2953,1742	17,9296	18,0946	17,8600	40,0390
12.04.16 08:03:11	  42472,335544	-1427,3822	-1528,1141	-2955,4963	17,9313	18,0207	17,8600	40,0653
12.04.16 08:08:27	  42472,339201	-1427,6865	-1532,7645	-2960,4509	17,9335	18,0825	17,8600	40,1704
12.04.16 08:13:43	  42472,342859	-1427,1215	-1530,6907	-2957,8122	17,9263	18,0738	17,8700	40,1824
12.04.16 08:18:59	  42472,346516	-1427,9410	-1530,6411	-2958,5821	17,9305	18,0755	17,8800	40,2469
